Tipo,P,I,J,K,T,Valor
CantidadProductoEnviada,1,1,1,,1,0.0
CantidadProductoEnviada,1,1,1,,2,0.0
CantidadProductoEnviada,1,1,1,,3,0.0
CantidadProductoEnviada,1,1,1,,4,0.0
CantidadProductoEnviada,1,1,1,,5,0.0
CantidadProductoEnviada,1,1,1,,6,0.0
CantidadProductoEnviada,1,1,1,,7,0.0
CantidadProductoEnviada,1,1,1,,8,0.0
CantidadProductoEnviada,1,1,1,,9,0.0
CantidadProductoEnviada,1,1,1,,10,0.0
CantidadProductoEnviada,1,1,1,,11,0.0
CantidadProductoEnviada,1,1,1,,12,0.0
CantidadProductoEnviada,1,1,2,,1,0.0
CantidadProductoEnviada,1,1,2,,2,0.0
CantidadProductoEnviada,1,1,2,,3,0.0
CantidadProductoEnviada,1,1,2,,4,0.0
CantidadProductoEnviada,1,1,2,,5,0.0
CantidadProductoEnviada,1,1,2,,6,0.0
CantidadProductoEnviada,1,1,2,,7,0.0
CantidadProductoEnviada,1,1,2,,8,0.0
CantidadProductoEnviada,1,1,2,,9,0.0
CantidadProductoEnviada,1,1,2,,10,0.0
CantidadProductoEnviada,1,1,2,,11,0.0
CantidadProductoEnviada,1,1,2,,12,0.0
CantidadProductoEnviada,1,1,3,,1,0.0
CantidadProductoEnviada,1,1,3,,2,0.0
CantidadProductoEnviada,1,1,3,,3,0.0
CantidadProductoEnviada,1,1,3,,4,0.0
CantidadProductoEnviada,1,1,3,,5,0.0
CantidadProductoEnviada,1,1,3,,6,0.0
CantidadProductoEnviada,1,1,3,,7,0.0
CantidadProductoEnviada,1,1,3,,8,0.0
CantidadProductoEnviada,1,1,3,,9,0.0
CantidadProductoEnviada,1,1,3,,10,0.0
CantidadProductoEnviada,1,1,3,,11,0.0
CantidadProductoEnviada,1,1,3,,12,0.0
CantidadProductoEnviada,1,2,1,,1,0.0
CantidadProductoEnviada,1,2,1,,2,0.0
CantidadProductoEnviada,1,2,1,,3,0.0
CantidadProductoEnviada,1,2,1,,4,0.0
CantidadProductoEnviada,1,2,1,,5,0.0
CantidadProductoEnviada,1,2,1,,6,0.0
CantidadProductoEnviada,1,2,1,,7,0.0
CantidadProductoEnviada,1,2,1,,8,0.0
CantidadProductoEnviada,1,2,1,,9,0.0
CantidadProductoEnviada,1,2,1,,10,0.0
CantidadProductoEnviada,1,2,1,,11,0.0
CantidadProductoEnviada,1,2,1,,12,0.0
CantidadProductoEnviada,1,2,2,,1,0.0
CantidadProductoEnviada,1,2,2,,2,0.0
CantidadProductoEnviada,1,2,2,,3,0.0
CantidadProductoEnviada,1,2,2,,4,0.0
CantidadProductoEnviada,1,2,2,,5,0.0
CantidadProductoEnviada,1,2,2,,6,0.0
CantidadProductoEnviada,1,2,2,,7,0.0
CantidadProductoEnviada,1,2,2,,8,0.0
CantidadProductoEnviada,1,2,2,,9,0.0
CantidadProductoEnviada,1,2,2,,10,0.0
CantidadProductoEnviada,1,2,2,,11,0.0
CantidadProductoEnviada,1,2,2,,12,0.0
CantidadProductoEnviada,1,2,3,,1,0.0
CantidadProductoEnviada,1,2,3,,2,0.0
CantidadProductoEnviada,1,2,3,,3,0.0
CantidadProductoEnviada,1,2,3,,4,0.0
CantidadProductoEnviada,1,2,3,,5,0.0
CantidadProductoEnviada,1,2,3,,6,0.0
CantidadProductoEnviada,1,2,3,,7,0.0
CantidadProductoEnviada,1,2,3,,8,0.0
CantidadProductoEnviada,1,2,3,,9,0.0
CantidadProductoEnviada,1,2,3,,10,0.0
CantidadProductoEnviada,1,2,3,,11,0.0
CantidadProductoEnviada,1,2,3,,12,0.0
CantidadProductoEnviada,1,3,1,,1,0.0
CantidadProductoEnviada,1,3,1,,2,0.0
CantidadProductoEnviada,1,3,1,,3,0.0
CantidadProductoEnviada,1,3,1,,4,0.0
CantidadProductoEnviada,1,3,1,,5,0.0
CantidadProductoEnviada,1,3,1,,6,0.0
CantidadProductoEnviada,1,3,1,,7,0.0
CantidadProductoEnviada,1,3,1,,8,0.0
CantidadProductoEnviada,1,3,1,,9,0.0
CantidadProductoEnviada,1,3,1,,10,0.0
CantidadProductoEnviada,1,3,1,,11,0.0
CantidadProductoEnviada,1,3,1,,12,0.0
CantidadProductoEnviada,1,3,2,,1,0.0
CantidadProductoEnviada,1,3,2,,2,0.0
CantidadProductoEnviada,1,3,2,,3,0.0
CantidadProductoEnviada,1,3,2,,4,0.0
CantidadProductoEnviada,1,3,2,,5,0.0
CantidadProductoEnviada,1,3,2,,6,0.0
CantidadProductoEnviada,1,3,2,,7,0.0
CantidadProductoEnviada,1,3,2,,8,0.0
CantidadProductoEnviada,1,3,2,,9,0.0
CantidadProductoEnviada,1,3,2,,10,0.0
CantidadProductoEnviada,1,3,2,,11,0.0
CantidadProductoEnviada,1,3,2,,12,0.0
CantidadProductoEnviada,1,3,3,,1,0.0
CantidadProductoEnviada,1,3,3,,2,0.0
CantidadProductoEnviada,1,3,3,,3,0.0
CantidadProductoEnviada,1,3,3,,4,0.0
CantidadProductoEnviada,1,3,3,,5,0.0
CantidadProductoEnviada,1,3,3,,6,0.0
CantidadProductoEnviada,1,3,3,,7,0.0
CantidadProductoEnviada,1,3,3,,8,0.0
CantidadProductoEnviada,1,3,3,,9,0.0
CantidadProductoEnviada,1,3,3,,10,0.0
CantidadProductoEnviada,1,3,3,,11,0.0
CantidadProductoEnviada,1,3,3,,12,0.0
CantidadProductoEnviada,1,4,1,,1,0.0
CantidadProductoEnviada,1,4,1,,2,0.0
CantidadProductoEnviada,1,4,1,,3,0.0
CantidadProductoEnviada,1,4,1,,4,0.0
CantidadProductoEnviada,1,4,1,,5,0.0
CantidadProductoEnviada,1,4,1,,6,0.0
CantidadProductoEnviada,1,4,1,,7,0.0
CantidadProductoEnviada,1,4,1,,8,0.0
CantidadProductoEnviada,1,4,1,,9,0.0
CantidadProductoEnviada,1,4,1,,10,0.0
CantidadProductoEnviada,1,4,1,,11,0.0
CantidadProductoEnviada,1,4,1,,12,0.0
CantidadProductoEnviada,1,4,2,,1,0.0
CantidadProductoEnviada,1,4,2,,2,0.0
CantidadProductoEnviada,1,4,2,,3,0.0
CantidadProductoEnviada,1,4,2,,4,0.0
CantidadProductoEnviada,1,4,2,,5,0.0
CantidadProductoEnviada,1,4,2,,6,0.0
CantidadProductoEnviada,1,4,2,,7,0.0
CantidadProductoEnviada,1,4,2,,8,0.0
CantidadProductoEnviada,1,4,2,,9,0.0
CantidadProductoEnviada,1,4,2,,10,0.0
CantidadProductoEnviada,1,4,2,,11,0.0
CantidadProductoEnviada,1,4,2,,12,0.0
CantidadProductoEnviada,1,4,3,,1,0.0
CantidadProductoEnviada,1,4,3,,2,0.0
CantidadProductoEnviada,1,4,3,,3,0.0
CantidadProductoEnviada,1,4,3,,4,0.0
CantidadProductoEnviada,1,4,3,,5,0.0
CantidadProductoEnviada,1,4,3,,6,0.0
CantidadProductoEnviada,1,4,3,,7,0.0
CantidadProductoEnviada,1,4,3,,8,0.0
CantidadProductoEnviada,1,4,3,,9,0.0
CantidadProductoEnviada,1,4,3,,10,0.0
CantidadProductoEnviada,1,4,3,,11,0.0
CantidadProductoEnviada,1,4,3,,12,0.0
CantidadProductoEnviada,1,5,1,,1,0.0
CantidadProductoEnviada,1,5,1,,2,0.0
CantidadProductoEnviada,1,5,1,,3,0.0
CantidadProductoEnviada,1,5,1,,4,0.0
CantidadProductoEnviada,1,5,1,,5,0.0
CantidadProductoEnviada,1,5,1,,6,0.0
CantidadProductoEnviada,1,5,1,,7,0.0
CantidadProductoEnviada,1,5,1,,8,0.0
CantidadProductoEnviada,1,5,1,,9,0.0
CantidadProductoEnviada,1,5,1,,10,0.0
CantidadProductoEnviada,1,5,1,,11,0.0
CantidadProductoEnviada,1,5,1,,12,0.0
CantidadProductoEnviada,1,5,2,,1,0.0
CantidadProductoEnviada,1,5,2,,2,0.0
CantidadProductoEnviada,1,5,2,,3,0.0
CantidadProductoEnviada,1,5,2,,4,0.0
CantidadProductoEnviada,1,5,2,,5,0.0
CantidadProductoEnviada,1,5,2,,6,0.0
CantidadProductoEnviada,1,5,2,,7,0.0
CantidadProductoEnviada,1,5,2,,8,0.0
CantidadProductoEnviada,1,5,2,,9,0.0
CantidadProductoEnviada,1,5,2,,10,0.0
CantidadProductoEnviada,1,5,2,,11,0.0
CantidadProductoEnviada,1,5,2,,12,0.0
CantidadProductoEnviada,1,5,3,,1,0.0
CantidadProductoEnviada,1,5,3,,2,0.0
CantidadProductoEnviada,1,5,3,,3,0.0
CantidadProductoEnviada,1,5,3,,4,0.0
CantidadProductoEnviada,1,5,3,,5,0.0
CantidadProductoEnviada,1,5,3,,6,0.0
CantidadProductoEnviada,1,5,3,,7,0.0
CantidadProductoEnviada,1,5,3,,8,0.0
CantidadProductoEnviada,1,5,3,,9,0.0
CantidadProductoEnviada,1,5,3,,10,0.0
CantidadProductoEnviada,1,5,3,,11,0.0
CantidadProductoEnviada,1,5,3,,12,0.0
CantidadProductoEnviada,1,6,1,,1,0.0
CantidadProductoEnviada,1,6,1,,2,0.0
CantidadProductoEnviada,1,6,1,,3,0.0
CantidadProductoEnviada,1,6,1,,4,0.0
CantidadProductoEnviada,1,6,1,,5,0.0
CantidadProductoEnviada,1,6,1,,6,0.0
CantidadProductoEnviada,1,6,1,,7,0.0
CantidadProductoEnviada,1,6,1,,8,0.0
CantidadProductoEnviada,1,6,1,,9,0.0
CantidadProductoEnviada,1,6,1,,10,0.0
CantidadProductoEnviada,1,6,1,,11,0.0
CantidadProductoEnviada,1,6,1,,12,0.0
CantidadProductoEnviada,1,6,2,,1,0.0
CantidadProductoEnviada,1,6,2,,2,0.0
CantidadProductoEnviada,1,6,2,,3,0.0
CantidadProductoEnviada,1,6,2,,4,0.0
CantidadProductoEnviada,1,6,2,,5,0.0
CantidadProductoEnviada,1,6,2,,6,0.0
CantidadProductoEnviada,1,6,2,,7,0.0
CantidadProductoEnviada,1,6,2,,8,0.0
CantidadProductoEnviada,1,6,2,,9,0.0
CantidadProductoEnviada,1,6,2,,10,0.0
CantidadProductoEnviada,1,6,2,,11,0.0
CantidadProductoEnviada,1,6,2,,12,0.0
CantidadProductoEnviada,1,6,3,,1,0.0
CantidadProductoEnviada,1,6,3,,2,0.0
CantidadProductoEnviada,1,6,3,,3,0.0
CantidadProductoEnviada,1,6,3,,4,0.0
CantidadProductoEnviada,1,6,3,,5,0.0
CantidadProductoEnviada,1,6,3,,6,0.0
CantidadProductoEnviada,1,6,3,,7,0.0
CantidadProductoEnviada,1,6,3,,8,0.0
CantidadProductoEnviada,1,6,3,,9,0.0
CantidadProductoEnviada,1,6,3,,10,0.0
CantidadProductoEnviada,1,6,3,,11,0.0
CantidadProductoEnviada,1,6,3,,12,0.0
CantidadProductoEnviada,1,7,1,,1,0.0
CantidadProductoEnviada,1,7,1,,2,0.0
CantidadProductoEnviada,1,7,1,,3,0.0
CantidadProductoEnviada,1,7,1,,4,0.0
CantidadProductoEnviada,1,7,1,,5,0.0
CantidadProductoEnviada,1,7,1,,6,0.0
CantidadProductoEnviada,1,7,1,,7,0.0
CantidadProductoEnviada,1,7,1,,8,0.0
CantidadProductoEnviada,1,7,1,,9,0.0
CantidadProductoEnviada,1,7,1,,10,0.0
CantidadProductoEnviada,1,7,1,,11,0.0
CantidadProductoEnviada,1,7,1,,12,0.0
CantidadProductoEnviada,1,7,2,,1,0.0
CantidadProductoEnviada,1,7,2,,2,0.0
CantidadProductoEnviada,1,7,2,,3,0.0
CantidadProductoEnviada,1,7,2,,4,0.0
CantidadProductoEnviada,1,7,2,,5,0.0
CantidadProductoEnviada,1,7,2,,6,0.0
CantidadProductoEnviada,1,7,2,,7,0.0
CantidadProductoEnviada,1,7,2,,8,0.0
CantidadProductoEnviada,1,7,2,,9,0.0
CantidadProductoEnviada,1,7,2,,10,0.0
CantidadProductoEnviada,1,7,2,,11,0.0
CantidadProductoEnviada,1,7,2,,12,0.0
CantidadProductoEnviada,1,7,3,,1,0.0
CantidadProductoEnviada,1,7,3,,2,0.0
CantidadProductoEnviada,1,7,3,,3,0.0
CantidadProductoEnviada,1,7,3,,4,0.0
CantidadProductoEnviada,1,7,3,,5,0.0
CantidadProductoEnviada,1,7,3,,6,0.0
CantidadProductoEnviada,1,7,3,,7,0.0
CantidadProductoEnviada,1,7,3,,8,0.0
CantidadProductoEnviada,1,7,3,,9,0.0
CantidadProductoEnviada,1,7,3,,10,0.0
CantidadProductoEnviada,1,7,3,,11,0.0
CantidadProductoEnviada,1,7,3,,12,0.0
CantidadProductoEnviada,1,8,1,,1,0.0
CantidadProductoEnviada,1,8,1,,2,0.0
CantidadProductoEnviada,1,8,1,,3,0.0
CantidadProductoEnviada,1,8,1,,4,0.0
CantidadProductoEnviada,1,8,1,,5,0.0
CantidadProductoEnviada,1,8,1,,6,0.0
CantidadProductoEnviada,1,8,1,,7,0.0
CantidadProductoEnviada,1,8,1,,8,0.0
CantidadProductoEnviada,1,8,1,,9,0.0
CantidadProductoEnviada,1,8,1,,10,0.0
CantidadProductoEnviada,1,8,1,,11,0.0
CantidadProductoEnviada,1,8,1,,12,0.0
CantidadProductoEnviada,1,8,2,,1,0.0
CantidadProductoEnviada,1,8,2,,2,0.0
CantidadProductoEnviada,1,8,2,,3,0.0
CantidadProductoEnviada,1,8,2,,4,0.0
CantidadProductoEnviada,1,8,2,,5,0.0
CantidadProductoEnviada,1,8,2,,6,0.0
CantidadProductoEnviada,1,8,2,,7,0.0
CantidadProductoEnviada,1,8,2,,8,0.0
CantidadProductoEnviada,1,8,2,,9,0.0
CantidadProductoEnviada,1,8,2,,10,0.0
CantidadProductoEnviada,1,8,2,,11,0.0
CantidadProductoEnviada,1,8,2,,12,0.0
CantidadProductoEnviada,1,8,3,,1,0.0
CantidadProductoEnviada,1,8,3,,2,0.0
CantidadProductoEnviada,1,8,3,,3,0.0
CantidadProductoEnviada,1,8,3,,4,0.0
CantidadProductoEnviada,1,8,3,,5,0.0
CantidadProductoEnviada,1,8,3,,6,0.0
CantidadProductoEnviada,1,8,3,,7,0.0
CantidadProductoEnviada,1,8,3,,8,0.0
CantidadProductoEnviada,1,8,3,,9,0.0
CantidadProductoEnviada,1,8,3,,10,0.0
CantidadProductoEnviada,1,8,3,,11,0.0
CantidadProductoEnviada,1,8,3,,12,0.0
CantidadProductoEnviada,1,9,1,,1,0.0
CantidadProductoEnviada,1,9,1,,2,0.0
CantidadProductoEnviada,1,9,1,,3,0.0
CantidadProductoEnviada,1,9,1,,4,0.0
CantidadProductoEnviada,1,9,1,,5,0.0
CantidadProductoEnviada,1,9,1,,6,0.0
CantidadProductoEnviada,1,9,1,,7,0.0
CantidadProductoEnviada,1,9,1,,8,0.0
CantidadProductoEnviada,1,9,1,,9,0.0
CantidadProductoEnviada,1,9,1,,10,0.0
CantidadProductoEnviada,1,9,1,,11,0.0
CantidadProductoEnviada,1,9,1,,12,0.0
CantidadProductoEnviada,1,9,2,,1,0.0
CantidadProductoEnviada,1,9,2,,2,0.0
CantidadProductoEnviada,1,9,2,,3,0.0
CantidadProductoEnviada,1,9,2,,4,0.0
CantidadProductoEnviada,1,9,2,,5,0.0
CantidadProductoEnviada,1,9,2,,6,0.0
CantidadProductoEnviada,1,9,2,,7,0.0
CantidadProductoEnviada,1,9,2,,8,0.0
CantidadProductoEnviada,1,9,2,,9,0.0
CantidadProductoEnviada,1,9,2,,10,0.0
CantidadProductoEnviada,1,9,2,,11,0.0
CantidadProductoEnviada,1,9,2,,12,0.0
CantidadProductoEnviada,1,9,3,,1,0.0
CantidadProductoEnviada,1,9,3,,2,0.0
CantidadProductoEnviada,1,9,3,,3,0.0
CantidadProductoEnviada,1,9,3,,4,0.0
CantidadProductoEnviada,1,9,3,,5,0.0
CantidadProductoEnviada,1,9,3,,6,0.0
CantidadProductoEnviada,1,9,3,,7,0.0
CantidadProductoEnviada,1,9,3,,8,0.0
CantidadProductoEnviada,1,9,3,,9,0.0
CantidadProductoEnviada,1,9,3,,10,0.0
CantidadProductoEnviada,1,9,3,,11,0.0
CantidadProductoEnviada,1,9,3,,12,0.0
CantidadProductoEnviada,1,10,1,,1,0.0
CantidadProductoEnviada,1,10,1,,2,0.0
CantidadProductoEnviada,1,10,1,,3,0.0
CantidadProductoEnviada,1,10,1,,4,0.0
CantidadProductoEnviada,1,10,1,,5,0.0
CantidadProductoEnviada,1,10,1,,6,0.0
CantidadProductoEnviada,1,10,1,,7,0.0
CantidadProductoEnviada,1,10,1,,8,0.0
CantidadProductoEnviada,1,10,1,,9,0.0
CantidadProductoEnviada,1,10,1,,10,0.0
CantidadProductoEnviada,1,10,1,,11,0.0
CantidadProductoEnviada,1,10,1,,12,0.0
CantidadProductoEnviada,1,10,2,,1,0.0
CantidadProductoEnviada,1,10,2,,2,0.0
CantidadProductoEnviada,1,10,2,,3,0.0
CantidadProductoEnviada,1,10,2,,4,0.0
CantidadProductoEnviada,1,10,2,,5,0.0
CantidadProductoEnviada,1,10,2,,6,0.0
CantidadProductoEnviada,1,10,2,,7,0.0
CantidadProductoEnviada,1,10,2,,8,0.0
CantidadProductoEnviada,1,10,2,,9,0.0
CantidadProductoEnviada,1,10,2,,10,0.0
CantidadProductoEnviada,1,10,2,,11,0.0
CantidadProductoEnviada,1,10,2,,12,0.0
CantidadProductoEnviada,1,10,3,,1,0.0
CantidadProductoEnviada,1,10,3,,2,0.0
CantidadProductoEnviada,1,10,3,,3,0.0
CantidadProductoEnviada,1,10,3,,4,0.0
CantidadProductoEnviada,1,10,3,,5,0.0
CantidadProductoEnviada,1,10,3,,6,0.0
CantidadProductoEnviada,1,10,3,,7,0.0
CantidadProductoEnviada,1,10,3,,8,0.0
CantidadProductoEnviada,1,10,3,,9,0.0
CantidadProductoEnviada,1,10,3,,10,0.0
CantidadProductoEnviada,1,10,3,,11,0.0
CantidadProductoEnviada,1,10,3,,12,0.0
CantidadProductoEnviada,1,11,1,,1,0.0
CantidadProductoEnviada,1,11,1,,2,0.0
CantidadProductoEnviada,1,11,1,,3,0.0
CantidadProductoEnviada,1,11,1,,4,0.0
CantidadProductoEnviada,1,11,1,,5,0.0
CantidadProductoEnviada,1,11,1,,6,0.0
CantidadProductoEnviada,1,11,1,,7,0.0
CantidadProductoEnviada,1,11,1,,8,0.0
CantidadProductoEnviada,1,11,1,,9,0.0
CantidadProductoEnviada,1,11,1,,10,0.0
CantidadProductoEnviada,1,11,1,,11,0.0
CantidadProductoEnviada,1,11,1,,12,0.0
CantidadProductoEnviada,1,11,2,,1,0.0
CantidadProductoEnviada,1,11,2,,2,0.0
CantidadProductoEnviada,1,11,2,,3,0.0
CantidadProductoEnviada,1,11,2,,4,0.0
CantidadProductoEnviada,1,11,2,,5,0.0
CantidadProductoEnviada,1,11,2,,6,0.0
CantidadProductoEnviada,1,11,2,,7,0.0
CantidadProductoEnviada,1,11,2,,8,0.0
CantidadProductoEnviada,1,11,2,,9,0.0
CantidadProductoEnviada,1,11,2,,10,0.0
CantidadProductoEnviada,1,11,2,,11,0.0
CantidadProductoEnviada,1,11,2,,12,0.0
CantidadProductoEnviada,1,11,3,,1,0.0
CantidadProductoEnviada,1,11,3,,2,0.0
CantidadProductoEnviada,1,11,3,,3,0.0
CantidadProductoEnviada,1,11,3,,4,0.0
CantidadProductoEnviada,1,11,3,,5,0.0
CantidadProductoEnviada,1,11,3,,6,0.0
CantidadProductoEnviada,1,11,3,,7,0.0
CantidadProductoEnviada,1,11,3,,8,0.0
CantidadProductoEnviada,1,11,3,,9,0.0
CantidadProductoEnviada,1,11,3,,10,0.0
CantidadProductoEnviada,1,11,3,,11,0.0
CantidadProductoEnviada,1,11,3,,12,0.0
CantidadProductoEnviada,1,12,1,,1,0.0
CantidadProductoEnviada,1,12,1,,2,0.0
CantidadProductoEnviada,1,12,1,,3,0.0
CantidadProductoEnviada,1,12,1,,4,0.0
CantidadProductoEnviada,1,12,1,,5,0.0
CantidadProductoEnviada,1,12,1,,6,0.0
CantidadProductoEnviada,1,12,1,,7,0.0
CantidadProductoEnviada,1,12,1,,8,0.0
CantidadProductoEnviada,1,12,1,,9,0.0
CantidadProductoEnviada,1,12,1,,10,0.0
CantidadProductoEnviada,1,12,1,,11,0.0
CantidadProductoEnviada,1,12,1,,12,0.0
CantidadProductoEnviada,1,12,2,,1,0.0
CantidadProductoEnviada,1,12,2,,2,0.0
CantidadProductoEnviada,1,12,2,,3,0.0
CantidadProductoEnviada,1,12,2,,4,0.0
CantidadProductoEnviada,1,12,2,,5,0.0
CantidadProductoEnviada,1,12,2,,6,0.0
CantidadProductoEnviada,1,12,2,,7,0.0
CantidadProductoEnviada,1,12,2,,8,0.0
CantidadProductoEnviada,1,12,2,,9,0.0
CantidadProductoEnviada,1,12,2,,10,0.0
CantidadProductoEnviada,1,12,2,,11,0.0
CantidadProductoEnviada,1,12,2,,12,0.0
CantidadProductoEnviada,1,12,3,,1,0.0
CantidadProductoEnviada,1,12,3,,2,0.0
CantidadProductoEnviada,1,12,3,,3,0.0
CantidadProductoEnviada,1,12,3,,4,0.0
CantidadProductoEnviada,1,12,3,,5,0.0
CantidadProductoEnviada,1,12,3,,6,0.0
CantidadProductoEnviada,1,12,3,,7,0.0
CantidadProductoEnviada,1,12,3,,8,0.0
CantidadProductoEnviada,1,12,3,,9,0.0
CantidadProductoEnviada,1,12,3,,10,0.0
CantidadProductoEnviada,1,12,3,,11,0.0
CantidadProductoEnviada,1,12,3,,12,0.0
CantidadProductoEnviada,1,13,1,,1,0.0
CantidadProductoEnviada,1,13,1,,2,0.0
CantidadProductoEnviada,1,13,1,,3,0.0
CantidadProductoEnviada,1,13,1,,4,0.0
CantidadProductoEnviada,1,13,1,,5,0.0
CantidadProductoEnviada,1,13,1,,6,0.0
CantidadProductoEnviada,1,13,1,,7,0.0
CantidadProductoEnviada,1,13,1,,8,0.0
CantidadProductoEnviada,1,13,1,,9,0.0
CantidadProductoEnviada,1,13,1,,10,0.0
CantidadProductoEnviada,1,13,1,,11,0.0
CantidadProductoEnviada,1,13,1,,12,0.0
CantidadProductoEnviada,1,13,2,,1,0.0
CantidadProductoEnviada,1,13,2,,2,0.0
CantidadProductoEnviada,1,13,2,,3,0.0
CantidadProductoEnviada,1,13,2,,4,0.0
CantidadProductoEnviada,1,13,2,,5,0.0
CantidadProductoEnviada,1,13,2,,6,0.0
CantidadProductoEnviada,1,13,2,,7,0.0
CantidadProductoEnviada,1,13,2,,8,0.0
CantidadProductoEnviada,1,13,2,,9,0.0
CantidadProductoEnviada,1,13,2,,10,0.0
CantidadProductoEnviada,1,13,2,,11,0.0
CantidadProductoEnviada,1,13,2,,12,0.0
CantidadProductoEnviada,1,13,3,,1,0.0
CantidadProductoEnviada,1,13,3,,2,0.0
CantidadProductoEnviada,1,13,3,,3,0.0
CantidadProductoEnviada,1,13,3,,4,0.0
CantidadProductoEnviada,1,13,3,,5,0.0
CantidadProductoEnviada,1,13,3,,6,0.0
CantidadProductoEnviada,1,13,3,,7,0.0
CantidadProductoEnviada,1,13,3,,8,0.0
CantidadProductoEnviada,1,13,3,,9,0.0
CantidadProductoEnviada,1,13,3,,10,0.0
CantidadProductoEnviada,1,13,3,,11,0.0
CantidadProductoEnviada,1,13,3,,12,0.0
CantidadProductoEnviada,1,14,1,,1,0.0
CantidadProductoEnviada,1,14,1,,2,0.0
CantidadProductoEnviada,1,14,1,,3,0.0
CantidadProductoEnviada,1,14,1,,4,0.0
CantidadProductoEnviada,1,14,1,,5,0.0
CantidadProductoEnviada,1,14,1,,6,0.0
CantidadProductoEnviada,1,14,1,,7,0.0
CantidadProductoEnviada,1,14,1,,8,0.0
CantidadProductoEnviada,1,14,1,,9,0.0
CantidadProductoEnviada,1,14,1,,10,0.0
CantidadProductoEnviada,1,14,1,,11,0.0
CantidadProductoEnviada,1,14,1,,12,0.0
CantidadProductoEnviada,1,14,2,,1,0.0
CantidadProductoEnviada,1,14,2,,2,0.0
CantidadProductoEnviada,1,14,2,,3,0.0
